Fermentation_Time,Temperature,pH_Level,Gravity,Alcohol_Content,Bitterness,Color,Quality_Score
16,24.2042508570699,5.28984544760956,1.0395041267302,5.37084215955344,20,5,8
13,18.0867629472595,5.27564338275619,1.05981895169872,5.09605308279763,36,14,7
12,15.5393326691165,4.77801562324598,1.03747570954872,4.82473712095918,30,10,8
17,16.4184891039432,5.34526058554619,1.05243142516949,5.509243080798,48,18,9
18,19.1449076543385,4.86185374113861,1.05429611494823,5.13362468426324,57,13,7
10,17.4246143933758,5.29178662190806,1.0646620426822,4.85917102161423,45,9,8
16,15.6298108759021,5.33288124102043,1.0466885050092,4.7104025228228,44,8,6
13,21.6054696891901,4.50721341945075,1.04158099003034,4.83702482975061,38,9,6
18,20.1835300758144,5.22448154294835,1.07644138285841,5.13359666198658,25,15,9
11,17.2379749249196,4.91126171631892,1.0478298509909,5.70989925360364,48,10,9
14,15.7040074512282,4.80982744080677,1.05038457987144,5.46006191095644,26,15,7
19,17.5977018864707,5.31202457991218,1.03304501800922,4.66106638569168,47,6,8
14,15.415524753323,5.42280872278536,1.04602594810878,4.51693986963094,34,16,8
17,20.3737555790542,4.76850839488343,1.03428218354654,5.31936643177132,32,6,9
17,24.6788701692354,4.87614431973282,1.06116298019676,4.97381389280548,34,15,8
10,16.2465322231052,5.24113315200192,1.03829924994771,4.5351797451139,37,17,9
11,22.9039722459385,5.47356379022729,1.03737300252245,5.12916808476057,44,10,9
15,24.8850240021405,4.68579566157026,1.0660628711842,5.57544843317294,36,6,8
15,17.7857133218999,5.31802491378219,1.06871678415533,5.40662555639889,23,5,9
16,18.5343316407243,4.77195730875323,1.03820908379914,5.4027604143937,40,13,8
10,24.7714825874611,4.87107683488508,1.06210427556849,5.70978487475262,54,15,9
16,16.5943753256307,5.4939670023935,1.05230105376689,4.93415755159749,46,18,9
17,17.1166190936842,5.35633638327984,1.07964743219231,4.90667053248476,47,17,7
12,18.8477846411334,5.22888695072562,1.04717600671649,5.02969336166525,39,9,6
